I-art,22
B-gpe,507
B-art,37
I-per,355
I-tim,50
B-org,379
O,17112
B-geo,511
B-tim,312
I-geo,79
B-per,285
I-eve,14
B-eve,18
I-gpe,26
I-org,279
I-nat,5
B-nat,9
